	GUT_GENOME011239	GUT_GENOME011714	GUT_GENOME012603	GUT_GENOME014311	GUT_GENOME018608	GUT_GENOME018729	GUT_GENOME029117	GUT_GENOME066320	GUT_GENOME067559	GUT_GENOME091220	GUT_GENOME092268	GUT_GENOME092376	GUT_GENOME093513	GUT_GENOME094058	GUT_GENOME103665	GUT_GENOME104028	GUT_GENOME104378	GUT_GENOME109037	GUT_GENOME120881	GUT_GENOME130816	GUT_GENOME132204	GUT_GENOME132205	GUT_GENOME132206	GUT_GENOME137479	GUT_GENOME143185	GUT_GENOME163069	GUT_GENOME186606	GUT_GENOME235276	GUT_GENOME236870	GUT_GENOME239080	GUT_GENOME251364	GUT_GENOME258505	GUT_GENOME263468	GUT_GENOME264147	GUT_GENOME268176	GUT_GENOME270563	GUT_GENOME272533	GUT_GENOME273277	GUT_GENOME280023	GUT_GENOME283178	GUT_GENOME283326	GUT_GENOME284192	GUT_GENOME285252	GUT_GENOME287004	P15MS_consensus	P15_MpT1_consensus	P20_consensus	P31_consensus	P32_consensus	P45_consensus	P46_consensus	P48_consensus	P51_consensus	P61_consensus	P66_consensus	P82MpT1_sans_C_consensus	P82_consensus	P86_BT_consensus	P86_sans_C_consensus	P88_consensus	P89_consensus	VRP32_MS_Bt_consensus	VRP86_MS_Bt_consensus	VRP86_MS_sans_C_consensus
GUT_GENOME011239	0	0.013618222563791	0.013379745751553	0.2167623333731	0.015173714576871	0.014851554031838	0.217789535140198	0.072889634770826	0.0742169328202149	0.013291576876741	0.0777885177980041	0.075359869494071	0.010656477516049	0.075227682826015	0.0752899943026419	0.0741782022476301	0.0750087089605429	0.073921489598157	0.013160900132779	0.016568591393585	0.209415945842703	0.016826169139087	0.9	0.016369000999368	0.0779357035817431	0.0162468909675719	0.074989333364703	0.010822610257211	0.216602718806977	0.078149218051737	0.0766770185779519	0.075131234187177	0.209497795086078	0.21601104407682	0.012590571245364	0.0171647986763431	0.0757207710881239	0.9	0.9	0.9	0.014425695814393	0.071533578069314	0.071912230788249	0.248240332506908	0.012548177115427	0.013459359397669	0.012468504407487	0.015563298364093	0.014091071947097	0.074309764961104	0.074837025683039	0.01296664702497	0.0764220183787001	0.0144025111412969	0.03460800172135	0.078703691786924	0.07885761411605	0.078428819153347	0.015123124444637	0.0141659438657349	0.0786321561161461	0.014161849842736	0.077675989504537	0.014978692589129
GUT_GENOME011714	0.013618222563791	0	0.01451941839754	0.218727400443846	0.017171763580869	0.017188683090699	0.217150652322476	0.0734517758803899	0.073013593625015	0.0171077628732959	0.077433742949587	0.076327462341512	0.013913883557948	0.0749847041663691	0.0751850842498131	0.074287373711084	0.074736557758723	0.073899980844553	0.016309224710747	0.020090727386263	0.20860941401714	0.0200668813538501	0.9	0.020938518046992	0.078661806784994	0.0134988799478459	0.076156560040646	0.012060864464152	0.213221792184495	0.076859326225071	0.0769360565384601	0.0750031803327739	0.210364235185102	0.219488815109677	0.0157728982248869	0.019013374788334	0.0744304146692051	0.9	0.9	0.9	0.016921498392302	0.0721080109011319	0.07272389058111	0.250396783792707	0.015238130151002	0.016191813986037	0.0154212885956019	0.0190189522045461	0.016429531797402	0.074992893748818	0.075408158984085	0.016091888385151	0.075931985650037	0.017753196969521	0.0373757627542371	0.0789009472992301	0.079518251436907	0.077933843926244	0.018284753718397	0.0175580779295321	0.078549391433359	0.0167756634473911	0.077902298702739	0.0188183336738931
GUT_GENOME012603	0.013379745751553	0.01451941839754	0	0.218130134296086	0.015233518967694	0.012103279565256	0.218000247613981	0.073109765302587	0.072298063214938	0.016407085530188	0.077254280770093	0.075077443072113	0.01334007497098	0.074927171629724	0.074160137421659	0.0731957705458331	0.07431775640732	0.072376932160096	0.0162149926315669	0.01876839731666	0.209245221568447	0.0197124895966751	0.9	0.018312978080554	0.078336506213992	0.018199726492677	0.074784421616861	0.012060390489119	0.215180802062554	0.077096832155441	0.076335498673394	0.07466525015556	0.210101035638604	0.217162968474599	0.014161890800945	0.014983661386362	0.074423367445336	0.9	0.9	0.9	0.016448376959042	0.0705960072977329	0.0709874457402	0.249355928770321	0.014882896033928	0.016081079235806	0.014928436732832	0.01804686537617	0.01647254359241	0.0738469497089341	0.074722995000474	0.0153284097785171	0.075354751223429	0.01776967495325	0.0360323502826741	0.07837078533162	0.078352823424827	0.0773347706830781	0.017309821108946	0.016736922022025	0.0783388859166659	0.017187383907049	0.0780451466772421	0.0181891380696879
GUT_GENOME014311	0.2167623333731	0.218727400443846	0.218130134296086	0	0.215655518053841	0.218906482550707	0.010675352016914	0.217645348503716	0.215543480526868	0.214746808933884	0.216268718876879	0.213278567375782	0.216257943220831	0.214418358358454	0.212858850601476	0.216854027540723	0.217807997039196	0.215331381023534	0.218762605966303	0.216566046365188	0.221539588670889	0.214310617396959	0.9	0.214549517769871	0.218344406867945	0.21252608130597	0.218022997308715	0.2162721259174	0.227575062682359	0.215299271153149	0.215464148913572	0.214500040867728	0.207136323385041	0.020992119967933	0.216900776960157	0.214654997331548	0.217862707991464	0.9	0.9	0.9	0.21562938339934	0.215620600158395	0.216828483526445	0.252551602879139	0.21626040109899	0.221053905740986	0.218648621968338	0.214984595701947	0.21699203912592	0.217338910642798	0.218042426288176	0.216521291713945	0.219646915801014	0.215778620526875	0.22071896214949	0.216274573341166	0.217307765213135	0.215610363026931	0.217335826364797	0.216545392831834	0.21634527823665	0.214423097142771	0.215856041164085	0.216625078297182
GUT_GENOME018608	0.015173714576871	0.017171763580869	0.015233518967694	0.215655518053841	0	0.015935133478048	0.2147961194724	0.073374842558931	0.07213390992793	0.0157374305319171	0.0759519124151601	0.074261390002235	0.013977906207142	0.0747188481278999	0.074015207582277	0.072775680405974	0.073733180076847	0.0725014498478551	0.012082978222456	0.0188267258971339	0.210160900977751	0.0167566537657279	0.9	0.017768900740094	0.0772433476740891	0.021128385442402	0.073498994422668	0.014306481880015	0.214065734833546	0.075788180249116	0.077035471692124	0.0742999404574771	0.208536054897146	0.216661400687088	0.015141446233652	0.018442070465366	0.073467702353183	0.9	0.9	0.9	0.0120764804059399	0.070954405614262	0.071281037946694	0.24943499645953	0.015883170833042	0.0169720955604269	0.015323301696457	0.017251850502752	0.0131052015378501	0.0737915351794651	0.074698116125915	0.015237855918658	0.076290772851499	0.013121216505876	0.0367024882342351	0.077099169708862	0.0784491786830721	0.076640910569233	0.017486641267927	0.013260510050207	0.076062795338221	0.012205189208929	0.07617978628362	0.0177016511930761
GUT_GENOME018729	0.014851554031838	0.017188683090699	0.012103279565256	0.218906482550707	0.015935133478048	0	0.21480218819505	0.0732673391465209	0.07288556563762	0.018017514757619	0.0768796653023939	0.074605516403752	0.0154968375313901	0.075471870267734	0.074499918450164	0.0743431070966651	0.07346780315909	0.07338606061731	0.0172769490271899	0.020787337716822	0.210841173877741	0.0205089990129321	0.251501716308583	0.0193190436690119	0.0772126155831521	0.020303729755385	0.074299275854637	0.0132981879557779	0.219127640816696	0.075670605073333	0.076344102811241	0.075101395547623	0.211484766362076	0.215056436679764	0.0145475963525681	0.0138486041687911	0.075367136613592	0.9	0.9	0.9	0.016509859381821	0.070727545047812	0.071449901154768	0.240417985790208	0.015979224395917	0.017046555663476	0.015808292589093	0.0189460149159559	0.018176479201171	0.074142514147529	0.07530479500856	0.016063039008951	0.074995023785189	0.018246904333056	0.036732628350465	0.076469137764236	0.0781188258435149	0.076676963465659	0.018451470435198	0.0178960778374341	0.077413480414571	0.01806931985015	0.076933714322509	0.018383882612724
GUT_GENOME029117	0.217789535140198	0.217150652322476	0.218000247613981	0.010675352016914	0.2147961194724	0.21480218819505	0	0.215463033945304	0.215588860971906	0.214884805350184	0.216771150217086	0.214095890689631	0.215070420857707	0.213662594956051	0.213619499686092	0.21808092711353	0.217491102755767	0.214881519193327	0.217989099137994	0.214932584331726	0.220779701231899	0.212928085903193	0.249136411089201	0.213938901835898	0.213450901262061	0.211154771318966	0.217392151000275	0.216582142238859	0.226773630726647	0.215301865414472	0.214142050529437	0.21478591307245	0.206575980026623	0.022752205930268	0.215217428436313	0.214296775316089	0.21609716998285	0.9	0.9	0.9	0.215603005147661	0.2157959705541	0.215809300243722	0.244244093879286	0.214468112211544	0.216268256030128	0.212304676106804	0.213277415259238	0.212167179655951	0.213593821088762	0.215771152502827	0.212340888163492	0.214655379214216	0.21502648172707	0.215743585290064	0.212538936032857	0.210992905239017	0.212335607786252	0.211007842792804	0.213121230788845	0.212405753392878	0.211963315926961	0.213370540737036	0.213912654099408
GUT_GENOME066320	0.072889634770826	0.0734517758803899	0.073109765302587	0.217645348503716	0.073374842558931	0.0732673391465209	0.215463033945304	0	0.012976837611742	0.069238404756281	0.010633801984503	0.01283617181354	0.073210225884709	0.012193340150247	0.011639531864938	0.011437014756853	0.010914464916757	0.0119565587240049	0.073834382467798	0.0653836675105519	0.207589943989472	0.0651692414000701	0.275557272391024	0.065871305722646	0.012870839117417	0.074446812072582	0.014644425346778	0.074415188415955	0.216055919615352	0.013221307003958	0.0122467972081991	0.011319950032206	0.206846056193234	0.215279887133366	0.0724247321515109	0.069028499077084	0.010345763224158	0.9	0.9	0.9	0.07403100718283	0.015029934086628	0.012436809059368	0.25162067915555	0.072668277224505	0.0745076221996381	0.072324261399516	0.067046357898344	0.072101273110452	0.012814858546548	0.0131334607928549	0.073438240994352	0.015959549092595	0.0745306323955521	0.020020315251504	0.014907499127698	0.015037447841065	0.013785060343945	0.069235374368477	0.073246843195064	0.013781464438291	0.072651015749874	0.0134582231697691	0.067417661890488
GUT_GENOME067559	0.0742169328202149	0.073013593625015	0.072298063214938	0.215543480526868	0.07213390992793	0.07288556563762	0.215588860971906	0.012976837611742	0	0.069180253096215	0.012039569247713	0.012667265771514	0.072153634194263	0.012078969318154	0.010806667614187	0.0112394349427809	0.011552940724782	0.011156066320783	0.0709344339341381	0.063348189986738	0.208341434661891	0.066401651414016	0.27606286973669	0.065330888541951	0.0115730897757869	0.074073097553169	0.011949549398723	0.07345394601007	0.214632743809459	0.011851970071436	0.0111563476672509	0.011925130923245	0.20616006513625	0.215604039213821	0.0725533834029601	0.069481642760239	0.01471630852777	0.9	0.9	0.9	0.0723699255251189	0.0124302588346561	0.014365534243249	0.253060251993091	0.073028635721796	0.0742293066214479	0.072235012785042	0.0679545354486621	0.071360309962719	0.014680059215265	0.015095884130174	0.073398231570096	0.0165118140715759	0.073674931047146	0.0183383476272949	0.0112771557793199	0.01348657220882	0.011609060881556	0.0690207610044649	0.073258893870216	0.011416766850239	0.071455961339114	0.010989850849281	0.0684797329999169
GUT_GENOME091220	0.013291576876741	0.0171077628732959	0.016407085530188	0.214746808933884	0.0157374305319171	0.018017514757619	0.214884805350184	0.069238404756281	0.069180253096215	0	0.072596639320043	0.0705807953085839	0.010938146811597	0.070448116877355	0.0711109080830811	0.0693822576017359	0.07212569984361	0.070167900647248	0.0134816242375371	0.0137375858956599	0.210089286195829	0.0121271266412219	0.9	0.014798277119134	0.0746919617361129	0.019797622000156	0.0709417540871701	0.0145680588994659	0.21745043770603	0.0731370323341871	0.072157726665306	0.069576541026929	0.209688966694277	0.216075400500362	0.0144245280553601	0.0188503037830149	0.071320387675481	0.9	0.9	0.9	0.015207280597278	0.067720874885481	0.0668442564639121	0.247743650382815	0.00940568917369504	0.011174458915356	0.00860373109713095	0.00845548108241502	0.013951609141092	0.0701646049500739	0.070739378033974	0.00970110424739801	0.0702110398046359	0.014332397683453	0.029838899005382	0.073326534598941	0.0735060529233169	0.071710280468309	0.0105092216680301	0.0152631605616349	0.072037445242576	0.0147069008434789	0.071144932104213	0.00795051824230796
