SeqA	SeqB	ANI	SD	N	Omega	Frx
GUT_GENOME011239	GUT_GENOME011239	100.0	0.0	8342	8342	100.0
GUT_GENOME011714	GUT_GENOME011239	98.6381777436209	1.23381596287823	7231	8342	86.6818508750899
GUT_GENOME011714	GUT_GENOME011714	100.0	0.0	8460	8460	100.0
GUT_GENOME012603	GUT_GENOME011239	98.6620254248447	1.30254491222623	7410	8342	88.827619275953
GUT_GENOME012603	GUT_GENOME011714	98.548058160246	1.55275213515901	7660	8460	90.5437352245863
GUT_GENOME012603	GUT_GENOME012603	100.0	0.0	8558	8558	100.0
GUT_GENOME014311	GUT_GENOME011239	78.32376666269	4.82900197095571	842	7871	10.6974971414052
GUT_GENOME014311	GUT_GENOME011714	78.1272599556154	4.90124028720332	879	7871	11.1675771820607
GUT_GENOME014311	GUT_GENOME012603	78.1869865703914	4.87699374199445	891	7871	11.3200355736247
GUT_GENOME014311	GUT_GENOME014311	100.0	0.0	7871	7871	100.0
GUT_GENOME018608	GUT_GENOME011239	98.4826285423129	2.03632250116991	6694	8342	80.2445456725006
GUT_GENOME018608	GUT_GENOME011714	98.2828236419131	2.02697201575988	6756	8460	79.8581560283688
GUT_GENOME018608	GUT_GENOME012603	98.4766481032306	1.91267704271282	7065	8558	82.5543351250292
GUT_GENOME018608	GUT_GENOME014311	78.4344481946159	4.87353490319507	823	7871	10.4561046880955
GUT_GENOME018608	GUT_GENOME018608	100.0	0.0	9027	9027	100.0
GUT_GENOME018729	GUT_GENOME011239	98.5148445968162	1.53337133835459	6409	7706	83.1689592525305
GUT_GENOME018729	GUT_GENOME011714	98.2811316909301	1.54283180233546	6478	7706	84.0643654295354
GUT_GENOME018729	GUT_GENOME012603	98.7896720434744	1.22288805977162	6759	7706	87.7108746431352
GUT_GENOME018729	GUT_GENOME014311	78.1093517449293	4.79057000372618	804	7706	10.4334284972748
GUT_GENOME018729	GUT_GENOME018608	98.4064866521952	1.91278075666817	6440	7706	83.5712431871269
GUT_GENOME018729	GUT_GENOME018729	100.0	0.0	7706	7706	100.0
GUT_GENOME029117	GUT_GENOME011239	78.2210464859802	4.97814760665876	843	7837	10.7566670919995
GUT_GENOME029117	GUT_GENOME011714	78.2849347677524	4.99127197804268	866	7837	11.0501467398239
GUT_GENOME029117	GUT_GENOME012603	78.1999752386019	4.97152311177103	891	7837	11.3691463570244
GUT_GENOME029117	GUT_GENOME014311	98.9324647983086	1.90130947135243	6141	7837	78.3590659691208
GUT_GENOME029117	GUT_GENOME018608	78.52038805276	4.83713766938687	844	7837	10.7694270766875
GUT_GENOME029117	GUT_GENOME018729	78.519781180495	5.16410954560614	745	7706	9.66779133143005
GUT_GENOME029117	GUT_GENOME029117	100.0	0.0	7837	7837	100.0
GUT_GENOME066320	GUT_GENOME011239	92.7110365229174	3.94106166701906	6371	8342	76.3725725245744
GUT_GENOME066320	GUT_GENOME011714	92.654822411961	3.98972896895837	6513	8460	76.9858156028369
GUT_GENOME066320	GUT_GENOME012603	92.6890234697413	4.0800376631446	6701	8558	78.3010049076887
GUT_GENOME066320	GUT_GENOME014311	78.2354651496284	4.85889837117978	910	7871	11.5614280269343
GUT_GENOME066320	GUT_GENOME018608	92.6625157441069	4.14001467318929	6158	9027	68.2175695136812
GUT_GENOME066320	GUT_GENOME018729	92.6732660853479	4.03580277281739	5958	7706	77.3163768492084
GUT_GENOME066320	GUT_GENOME029117	78.4536966054696	4.90286059670541	895	7837	11.4201862957764
GUT_GENOME066320	GUT_GENOME066320	100.0	0.0	9411	9411	100.0
GUT_GENOME067559	GUT_GENOME011239	92.5783067179785	3.83327149830838	5443	7493	72.6411317229414
GUT_GENOME067559	GUT_GENOME011714	92.6986406374985	3.79327867518228	5770	7493	77.0052048578673
GUT_GENOME067559	GUT_GENOME012603	92.7701936785062	3.80781182489705	5914	7493	78.9269985319632
GUT_GENOME067559	GUT_GENOME014311	78.4456519473132	4.77763157714141	868	7493	11.5841452021887
